,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
jan. 2023,,,,,
,jan. 25,COMPRA ,,$	2958.00,
,jan. 26,GUINCHO ,,$	250.00,
,jan. 26,ESTADIA COPART,,$	70.00,
fev. 2023,,,,,
,fev. 1,CHAVE SERVICO ,,$	119.00,
,fev. 1,BOTAO FORD,,$	44.00,
,fev. 3,GASOLINA ,,$	20.00,
,fev. 8,Trasnferencia ,,$	564.00,
,fev. 6,CHAVE COPIA ,,$	50.00,
,fev. 7,CHAVE,,$	50.00,
,fev. 7,RENOVA ,,$	150.00,
,fev. 8,EMENDAS ,,$	12.00,
,fev. 8,MILHAS E ALINHAMENTO ,PS,$	100.00,
,fev. 9,BREAK LIGHT ,,$	80.00,
,fev. 10,KIT PNEU E MACACO ,,$	59.00,
,fev. 12,GASOLINA ,,$	51.00,
,fev. 14,FERRAMENTAS ,,$	50.00,
,fev. 16,FERRAM. AMAZ,,$	65.00,
,fev. 25,FILTRO DE AR ,,$	30.00,
,fev. 1,BATERIA ,,$	234.00,
mar. 2023,,,,,
,mar. 3,Troca de oleo ,,$	50.00,
,mar. 3,Solda catalizador ,,$	100.00,
,mar. 3,Freio dianteiro ,,$	300.00,
,mar. 9,Chave program,,$	60.00,
,mar. 10,Palheta,,$	20.00,
,março,PARAFUSOS ,,$	20.00,
mai. 2023,,,,,
,mai. 8,Gasolina ,,$	50.00,
,mai. 10,PORTA ,,$	350.00,
,mai. 17,Bumper ,,$	240.00,
jun. 2023,,,,,
,jun. 1,FUNILEIRO ,,$	2500.00,
,jun. 1,PNEUS DESMONTAR ,,$	30.00,
,jun. 1,COD CHAVE ,,$	150.00,
,jun. 2,ALINHAMNETO ,,$	75.00,
,jun. 2,GASOLINA ,,$	30.00,
,jun. 20,Pneus 2 ,,$	220.00,
,jun. 22,AMORTECEDOR ,,$	108.00,
,jun. 22,LINK BAR ,,$	162.00,
,jun. 22,IMPOSTO E FRETE ,,$	53.00,
,jun. 22,SENSOR DE AR ,,$	18.00,
,jun. 26,SUSPENSAO TRAZEIRA ,,$	100.00,
,jun. 29,UBER ,,$	25.00,
ago. 2023,,,,,
,ago. 21,Troca de oleo ,,$	50.00,
,ago. 27,RENATA,,,$	250.00
set. 2023,,,,,
,set. 3,RENATA,,,$	250.00
,set. 21,Troca de oleo ,,$	50.00,
(em branco),,,,,
,,,,,
,Total ,,,$	9717.00,$	500.00
