,C-Max,8YES705,,PRATA,
,Dia ,Obs ,Fotos ,Gastos $,$
jun. 2022,,,,,
,jun. 10,COMPRA,,$	7000.00,
,jun. 10,Troca de oleo ,,$	50.00,
,jun. 10,Pneu ,,$	520.00,
,jun. 10,Painel ,,$	50.00,
jul. 2022,,,,,
,9 jul.,Entregue- Marcos ,,,
ago. 2022,,,,,
,ago. 25,Lavagem e lampas,,$	23.00,
,24 ago.,Devolvido-Marcos ,,,
,24 ago.,PAINEL ,,$	50.00,
,24 ago.,OLEO E COXIN ,,$	50.00,
,ago. 25,Vidro Parabrisa ,,$	250.00,
,ago. 25,PNEUS NOVOS ,,$	520.00,
,ago. 25,Lavagem e lampas,,$	23.00,
,ago. 29,Armotecedores,,$	160.00,
,ago. 29,gasolina,,$	62.00,
,ago. 27,Entregue Luciano ,,,
set. 2022,,,,,
,set. 5,Retirado - Luciano ,,,
,set. 4,Multas ,,,
out. 2022,,,,,
,out. 1,FASTRAK ,,$	7.00,
,out. 14,Devolvido Jairo ,,,$	250.00
,out. 19,Entregue JOAQUIM ,,,
nov. 2022,,,,,
,nov. 28,OLEO E COXIN ,,$	96.00,
,nov. 30,KIT PNEU ,,$	7.00,
dez. 2022,,,,,
,dez. 15,KIT MACACO ,,$	52.00,
,dez. 15,PRESETE NATAL ,,$	15.00,
jan. 2023,,,,,
,jan. 17,PNEUS NOVOS ,,$	240.00,
,jan. 17,OLEO E ALINHAMENTO ,PIT STOP ,$	100.00,
mar. 2023,,,,,
,mar. 16,Smog ,,$	40.00,
,mar. 16,Licenciamento ,,$	154.00,
,mar. 18,Lavar e aspirar ,,$	15.00,
abr. 2023,,,,,
,abr. 13,COMPRESSOR ,,$	11.00,
,abr. 4,PALHETAS ,,$	20.00,
jun. 2023,,,,,
,jun. 22,AMORTECEDORES ,,$	214.00,
,jun. 22,BANDEJAS ,,$	249.00,
,jun. 22,IMPOSTO E FRETE ,,$	53.00,
,jun. 28,INSULFILME,,$	220.00,
,jun. 28,GASOLINA ,,$	14.00,
,jun. 28,ALINHAMENTO ,,$	75.00,
jul. 2023,,,,,
,jul. 26,PALHETAS ,,$	24.00,
,jul. 26,PNEUS NOVOS ,,$	220.00,
,jul. 31,SEGURO ,,,$	1297.00
ago. 2023,,,,,
,ago. 14,Polir farol ,,$	100.00,
,ago. 14,Oleo motor ,,$	50.00,
,ago. 14,Oleo da transmission ,,$	100.00,
,ago. 14,MO Suspensão ,,$	418.00,
,ago. 14,Axel ,,$	150.00,
,ago. 14,Bandeja ,,$	450.00,
,ago. 24,Oleo motor ,,$	50.00,
set. 2023,,,,,
,set. 13,PALHETAS ,,$	24.00,
(em branco),,,,,
,,,,,
,Total ,,,$	11926.00,$	1547.00
