,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
jan. 2023,,,,,
,jan. 25,COMPRA ,,$	2150.00,
,jan. 26,GUINCHO ,,$	400.00,
fev. 2023,,,,,
,fev. 1,PROGRAMAR CHAVE ,,$	20.00,
,fev. 6,Guincho p/ PS,,$	30.00,
,fev. 6,CHAVE ,,$	50.00,
,fev. 6,Chave reserva ,,$	50.00,
,fev. 6,BATERIA ,,$	230.00,
,fev. 8,TRANSFERENCIA ,,$	873.00,
mar. 2023,,,,,
,mar. 17,Smog ,,$	40.00,
,mar. 3,Oleo ,,$	50.00,
,mar. 10,Mao de obra ,PS ,$	800.00,
,mar. 10,Tasnmissao nova ,PS ,$	2500.00,
,mar. 10,Cartão fies ,,$	116.00,
,mar. 10,Pneu e balance ,,$	150.00,
,mar. 10,Lavagem ,,$	5.00,
,mar. 11,Kit suspense ,,$	200.00,
,mar. 11,PALHETA,,$	20.00,
,mar. 16,Alinhamento ,,$	50.00,
,mar. 16,Amortecedores ,,$	38.00,
,mar. 17,Gasolina,,$	55.00,
,mar. 18,Lavar e aspirar ,,$	15.00,
,mar. 23,CHAVE RESERVA ,,$	50.00,
,mar. 23,PROGRAMAR CHAVE ,,$	60.00,
abr. 2023,,,,,
,abr. 1,Amortecedores ,,$	350.00,
,abr. 29,FORD PECAS ,,$	650.00,
,abr. 29,KIT SUSPENSAO ,,$	200.00,
mai. 2023,,,,,
,mai. 2,OLEO TRANSM ,,$	38.00,
,mai. 5,ALINHAMENTO ,,$	75.00,
,mai. 3,COIFA ,,$	25.00,
,mai. 3,TIE RODS ,,$	51.00,
,mai. 5,SERVICO BRENO,,$	480.00,
,mai. 26,2 PNEUS ,,$	220.00,
,mai. 28,Luiza ATE 06/06,,,$	250.00
jun. 2023,,,,,
,jun. 7,Cv axe driver ,,$	148.00,
,jun. 9,SERVICO BRENO,,$	150.00,
,jun. 9,Filtro de ar ,,$	20.00,
,jun. 9,Troca de oleo ,,$	50.00,
,jun. 22,Amortecedore D,,$	200.00,
,jun. 19,Lava rapido ,,$	15.00,
jul. 2023,,,,,
,jul. 11,CORTE MY KEY ,,$	150.00,
ago. 2023,,,,,
,ago. 2,PNEUS ,,$	240.00,
,ago. 9,Chave bateria ,,$	10.00,
,ago. 26,ROMULO ,,,$	250.00
set. 2023,,,,,
,set. 5,LAVAGEM ,,$	15.00,
,set. 5,AMIGO FABIO 05/09 ATE ,"SET 14  , SET 18 ",,$	500.00
,Total ,,,$	11039.00,$	1000.00
