Dia ,Obs ,Fotos ,Gastos $,Recebidos 
abr. 6,COMPRA ,,$	6535.00,
abr. 9,Farol ,,$	265.00,
abr. 11,Colante ,,$	25.00,
abr. 11,gasolina,,$	48.00,
abr. 11,Tag fasttak,,$	25.00,
abr. 11,Gasolina p/ buscar,,$	30.00,
abr. 12,Transferencia ,,$	390.00,
abr. 12,Lav motor ,,$	2.00,
abr. 12,Parafuso pneu,,$	20.00,
abr. 12,KIT PNEU E MACACO ,,$	58.00,
abr. 12,COMPRESSOR ,,$	11.00,
abr. 13,COALNTE ,,$	26.00,
abr. 13,TAPETE,,$	68.00,
abr. 14,CHAVE RESERVA ,,$	44.00,
abr. 14,FILTRO D AR ,,$	25.00,
abr. 14,PALHETAS ,,$	20.00,
abr. 28,SENSOR A/C,,$	18.00,
mai. 18,Caixa modulo ,,$	20.00,
jun. 10,Troca de oleo ,,$	50.00,
jun. 30,BATEU ,,,
jul. 21,Paralama ,,$	225.00,
jul. 21,Bumper ,,$	239.00,
jul. 25,SUPORTE RADIADOR ,,$	104.00,
jul. 26,PALHETAS ,,$	24.00,
jul. 27,SEGURO ,,,$	4121.00
set. 13,2 PNEUS NOVOS ,,$	220.00,
Total ,,,$	8492.00,$	4121.00
