,CIVIC ,,,PRETO ,GARAGEM 
,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
out. 2022,,,,,
,out. 7,COMPRA ,,$	2013.00,
,out. 10,GERALDO COMPRA ,,$	100.00,
,out. 10,GASOLINA ,,$	26.00,
,out. 10,CHEQUE ,,$	10.00,
,out. 10,GUINCHO ,,$	250.00,
,out. 10,BATERIA E CONECTOR ,,$	140.00,
,out. 10,TROCA DE OLEO ,,$	50.00,
,out. 19,MOTOR ,,$	300.00,
,out. 21,Vidro ,,$	40.00,
,out. 26,Spray tinta ,,$	35.00,
,out. 26,DOCUMENTO ,,$	385.00,
dez. 2022,,,,,
,dez. 12,Coxin,,$	69.00,
,dez. 16,REVISAO ,,$	700.00,
,dez. 16,RADIADOR ,,$	126.00,
jan. 2023,,,,,
,jan. 28,GASOLINA ,,$	44.00,
,jan. 28,TROCA DE MOTOR 2,,$	300.00,
,jan. 28,LIMPEZA DO MOTOR ,,$	400.00,
,jan. 28,CHAVES ,,$	24.00,
fev. 2023,,,,,
,fev. 23,Lavagem e aspirar ,,$	10.00,
,fev. 23,Tag ,,$	30.00,
,fev. 23,Chave porta ,,$	19.00,
,fev. 23,Tapete ,,$	20.00,
,fev. 23,Emblema ,,$	11.00,
,fev. 23,CHAVE RESERVA ,,$	28.00,
mar. 2023,,,,,
,mar. 1,ASPITADOR ,,$	2.50,
,mar. 6,Licenciamento ,,$	233.00,
,mar. 8,Suspensão ,,$	360.00,
,mar. 15,SUSPENSO ,,$	96.00,
,mar. 16,Eixo interno ,,$	100.00,
abr. 2023,,,,,
,abr. 3,Abs sensor ,,$	23.00,
,abr. 3,Mão de obra ,,,
,abr. 5,GASOLINA ,,$	43.00,
,abr. 5,COMPRESSOR ,,$	11.00,
,abr. 5,KIT REPARO ,,$	7.00,
,abr. 5,palhetas,,$	20.00,
,abr. 10,Oleo do cambio ,,$	150.00,
,abr. 10,ATILA - 09/04 ATE 23/04,,,$	400.00
,abr. 28,CHAVE PROG ,,$	33.00,
,abr. 28,GASOLINA CHAVE ,,$	13.00,
,abr. 29,MACEDO 29/04 A 13/04,,,$	400.00
mai. 2023,,,,,
,mai. 19,CONDENSADOR ,,$	227.00,
,mai. 31,Aste capo ,,$	19.00,
,mai. 19,Kleber ,,,$	400.00
jun. 2023,,,,,
,jun. 10,Serviço condensador ,,$	200.00,
,jun. 20,Jumper ,,$	40.00,
,jun. 19,Lavagem,,$	34.00,
,jun. 19,GASOLINA ,,$	34.00,
ago. 2023,,,,,
,ago. 19,Lavagem e aspirar ,,$	30.00,
,ago. 19,GASOLINA ,,$	47.00,
,ago. 19,Lampadas,,$	37.00,
jul. 2023,,,,,
,jul. 19,COLANT ,WALMART,$	22.00,
(em branco),,,,,
,,JORGE ,,,$	200.00
,,,,,
,TOTAL ,,,$	6911.50,$	1400.00
