RECEBIDOS ,,
DIA PAGO ,VALOR PAGO ,OBS 
mai. 3,$ 250.00,FASTRAK $28 
mai. 7,$ 250.00,
mai. 10,$ 250.00,
mai. 18,$ 500.00,
mai. 26,$ 250.00,FASTRAK $ 55
jun. 15,$ 200.00,SERVICOS 8 HRS $20 + $40 EXTRA 
jun. 26,$ 800.00,
jul. 7,$ 500.00,
jul. 14,$ 150.00,
jul. 19,$ 400.00,
ago. 2,$ 100.00,
ago. 4,$ 256.00,
ago. 7,$ 300.00,
ago. 9,$ 150.00,
ago. 10,$ 150.00,CONTA 
ago. 14,$ 400.00,CONTA E CARRO 
ago. 18,$ 230.00,
ago. 22,$ 150.00,
ago. 22,$ 115.00,
ago. 22,$ 135.00,
set. 11,$ 15.00,
set. 11,$ 250.00,
set. 11,$ 58.00,
set. 11,$ 150.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,DEVEDOR 
PAGO ,"$ 6,009.00","$ 3,075.69"
