PODRAO ,,,BRANCO ,RUA 
Dia ,Obs ,Fotos ,Gastos $,Recebidos 
fev. 23,MADEIRAS ,,$ 150.00,
fev. 23,AMORT GABINE,,$ 31.00,
mar. 7,smog ,,$ 280.00,
mar. 13,Transferencia ,,$ 324.00,
mar. 13,Ventilador/ espelho ,,$ 680.00,
mar. 28,Gasolina ,,$ 171.00,
mar. 28,Gas ,,$ 27.00,
abr. 4,CHAVE COPIA ,,$ 18.00,
abr. 29,FECHADURA Mala,,$ 85.00,
abr. 14,Mangueiras esgoto ,,$ 109.00,
mai. 11,Cadeado e trava ,,$ 47.00,
mai. 11,Porta chaves ,,$ 15.00,
jul. 3,4 PENUS NOVOS ,,$ 600.00,
,,,,
,,,,
TOTAL ,,,$ 2537.00,0
