,C-Max,$ 4.409.89,,VERMELHO ,CHINA 
,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
ago. 2022,,,,,
,ago. 31,LAMPADA,,$	19.80,
,ago. 29,COMPRA ,,"$	4,640.00",
set. 2022,,,,,
,set. 7,Ford,,$	250.00,
out. 2022,,,,,
,out. 26,Garagem casa ,,,
,out. 26,Gasolina ,,$	40.00,
,out. 26,Doc,,$	414.00,
,out. 26,Chaveiro ,,$	158.00,
,out. 27,Elétrica ,,$	25.00,
,out. 27,WD ,,$	24.59,
nov. 2022,,,,,
,novembro,CHINA ,,,
dez. 2022,,,,,
,dez. 1,BATIDA ,,,
,dez. 3,FUNILEIRO,,,
,dez. 15,SEGURO PAGO ,,,$	7420.00
,dez. 21,PECAS PARA OUTRO-CMAX ,,,$	1580.00
jun. 2023,,,,,
,jun. 13,UHUAL ,,$	50.00,
,jun. 13,MAO DE OBRA ,,$	400.00,
,jun. 13,OFICINA ,,$	200.00,
ago. 2023,,,,,
,ago. 1,DMV ,,$	25.00,
(em branco),,,,,
,,,,,
,,,,,
,TOTAL,,,$	6246.39,$	9000.00
