Dia ,Obs ,Fotos ,Gastos $,Recebidos 
jan. 25,COMPRA ,,$	1460.00,
jan. 26,GUINCHO ,,$	400.00,
fev. 10,TAPETES ,,$	20.00,
fev. 14,MULTA VIDRO ,,$	50.00,
fev. 14,MULTA VIDRO ,,$	61.00,
fev. 14,POLICIA,,$	131.00,
fev. 14,OLEO TRANSM,,$	150.00,
fev. 14,GUNCHO PRESO ,,$	423.00,
fev. 15,SMOG ,,$	40.00,
fev. 15,PLACAS ,,$	25.00,
fev. 15,DMV TAXAS,,$	255.00,
mar. 3,OLEO ,,$	60.00,
mar. 23,PARABRIZA ,,$	270.00,
abr. 3,Reembolso guincho ,,,$	350.00
abr. 18,Amiga artur ,,,$	150.00
abr. 18,Som ,,$	152.00,
ago. 1,DOC ,,$	50.00,
,,,,
Total ,,,$	3547.00,$	500.00
