Dia ,Obs ,Fotos ,Gastos $,Recebidos 
abr. 1,COMPRA ,,$	10000.00,
abr. 1,Parafuso ,,$	22.00,
abr. 1,Porcas ,,$	28.00,
abr. 2,Palhetas ,,$	24.00,
abr. 2,Pisca dianteiro ,,$	91.00,
abr. 2,Farois ,,$	49.00,
abr. 2,Lampadas ,,$	10.00,
abr. 2,Lanternas traseiras ,,$	148.00,
abr. 2,Berak light,,$	27.00,
abr. 2,Olho de gato ,,$	24.00,
abr. 2,Farol de milha ,,$	127.00,
abr. 3,Som e acessórios ,,$	577.00,
abr. 4,Gasolina ,,$	42.00,
abr. 5,Compressor ,,$	11.00,
abr. 11,catacra,,$	20.00,
mai. 1,CORDA E RAMPA ,,$	152.00,
mai. 9,Transferencia,,$	324.00,
mai. 30,Travas frente ,,$	47.00,
jun. 10,Escaladores roda ,,$	109.00,
jun. 10,Calhas vidro ,,$	43.00,
jun. 22,Pintura capo ,,$	180.00,
jul. 1,ALINHAMENTO ,,$	75.00,
jun. 6,BATERIA,,$	231.00,
jul. 10,GUINCHO ,,$	20.00,
jul. 20,Capa antena ,,$	8.00,
Total ,,,$	12389.00,$	0.00
