,DIA ,OBS ,DESPESAS ,RECEBIDOS 
2010,,,,
,2010,APTO ,,
2024,,,,
,5 jan.,Iptu ,R$ 469.00,
,4 mar.,Martins ,R$ 500.00,
,11 mar.,Geladeira ,R$ 545.00,
,15 mar.,Gilmar Pintura ,R$ 600.00,
,28 mar.,Envelopar tampo ,R$ 900.00,
,30 mar.,Condominio ,R$ 1159.65,
,30 mar.,Materias ,R$ 258.00,
,22 abr.,5 andar ,R$ 96.00,
,26 abr.,Faxina ,R$ 180.00,
,29 abr.,Encanador ,R$ 150.00,
,30 abr.,Luzes ,R$ 24.00,
,11 mai.,Pecas sanitario ,R$ 232.00,
2025,,,,
,20 fev.,IPTU 2025 ,R$ 550.93,
,29 mai.,CHAVEIRO ,R$ 180.00,
,31 mai.,CONDOMINIO ,R$ 1149.00,
,2 jun.,SUGAR ,R$ 400.00,
,3 jun.,MATERIAL PINTURA ,R$ 856.00,
,4 jun.,PINTOR ,R$ 1500.00,
,4 jun.,VARAL ,R$ 140.00,
,4 jun.,VIDRO ,R$ 235.00,
,7 jun.,PISO MADEIRA ,R$ 3300.00,
,9 jun.,MATERIAL ELETRICO ,R$ 1300.00,
,9 jun.,ELETRECISTA ,R$ 600.00,
,9 jun.,PORTA COPOS ,R$ 27.00,
,9 jun.,TAMPA PASSA FIO ,R$ 6.00,
,10 jun.,GASOLINA FE ,R$ 300.00,
,10 jun.,RODINHA BANCO ,R$ 225.00,
,10 jun.,FECHAD JANELA,R$ 73.00,
,11 jun.,SUPORTE BAR ,R$ 230.00,
,11 jun.,TINTAS ,R$ 230.00,
,18 jun.,FAXINA ,R$ 540.00,
,23 jun.,HIGIENIZACAO ,R$ 762.00,
,23 jun.,PRODUTOS LIMPZ,R$ 206.00,
,24 jun.,FECHADURA LVB,R$ 221.00,
,26 jun.,PORTAS NOVAS ,R$ 2300.00,
,26 jun.,MOVEIS ,R$ 3000.00,
,26 jun.,LIXAR RESINAR MOVEIS ,R$ 1000.00,
,26 jun.,MARMITAS ,R$ 79.00,
,26 jun.,MARMITAS ,R$ 47.00,
,26 jun.,PX JANELA,R$ 65.00,
,30 jun.,CONDOMINIO ,R$ 1149.00,
,10 jul.,ARMARIO COZIN,R$ 500.00,
,7/29/2025,Condominio ,R$ 1149.00,
,8/20/2025,COPIA CHAVES ,R$ 35.00,
,9/6/2025,CPFL ,R$ 169.00,
,10/5/2025,CPFL DIFERENCA ,R$ 40.00,
2026,,,,
,12 jan.,IPTU 2026,R$ 515.00,
,Total ,,R$ 28192.58,R$ 0.00
