DIA ,OBS ,DESPESAS ,RECEBIDOS 
5 jan.,IPTU ,R$ 1236.17,
11 mai.,Compra juliana ,R$ 56250.00,
20 jun.,DR MARCELO ,R$ 1500.00,
22 jun.,Julia fotos ,R$ 100.00,
1 jul.,Vaso sanitario ,R$ 590.00,
2 jul.,Eletricista ,R$ 1300.00,
3 jul.,Pia cozinha ,R$ 2109.00,
5 jul.,Cabos e caixa ,R$ 300.00,
11 jul. 24,Casa Rossi PIA,R$ 2056.53,
20 fev.,IPTU 2025 ,R$ 1452.21,
11 mar.,sedex ,R$ 27.00,
5 ago. 25,Taxa adm Julia,R$ 214.00,
6 mai. 24,DR MARCELO ,R$ 1500.00,
14 ago. 25,Obra Felipe ,R$ 500.00,
16 ago. 25,Obra serviço ,R$ 4000.00,
16 ago. 25,Acessórios salão ,R$ 478.00,
16 ago. 25,Porta sanfonadas ,R$ 90.00,
16 ago. 25,Pisos e materiais ,R$ 10000.00,
20 ago. 25,Forro ,R$ 1300.00,
20 ago. 25,Soleira ,R$ 440.00,
22 ago. 25,Servico Alberes ,R$ 3000.00,
19 set. 25,Servico Alberes ,R$ 3000.00,
9 jan. 26,Dare Geraldao ,R$ 13725.00,
30 jan. 26,IPTU 2026,R$ 1355.60,
Total ,,R$ 106523.51,R$ 0.00
