,,DESCRIÇÃO,ENDEREÇO ,CIDADE ,PAÍS ,STATUS ,MATRICULA ,IPTU ,SITE IPTU ,VALORES 
Brasil ,,,,,,,,,,
,APARTAMENTO ,Apto S Andre ,"Rua da Fonte, 77 Apt 142 ",Santo Andre,Brasil ,Alugado ,709890219,2026,,R$ 78933.23
,APARTAMENTO ,Nena ,"Rua Agustinho de Vito, 167 ",Sorocaba,Brasil ,Alugado ,5444370738041,2026,,-R$ 135647.09
,APARTAMENTO ,Amazonas ,"Rua Amazonas, 373 APT 102 ",Sorocaba,Brasil ,Alugado ,446118022001038,2024,,-R$ 345114.71
,APARTAMENTO ,5 aptos ,"RUA JOÃO MERCADO, 105",Sorocaba,Brasil ,Construir,,,,R$ 0.00
,CASA,LUCY ,RUA LIBRA 147 ,Santo Andre,Brasil ,Alugado ,709903957,2026,,R$ 12326.49
,FAZENDA,MINAS ,,Minas Gerais ,Brasil ,Arrendada ,,,,R$ 0.00
,SITIO ,Nosso Recanto ,Rua Joaquim ,São Roque ,Brasil ,Construir,,,,-R$ 5150.00
,TERRENO ,Campininha ,,São Roque ,Brasil ,Terreno ,400226000,2025,,-R$ 3774.51
,Brasil ,,,,,Total ,,,,-R$ 398426.59
EUA,,,,,,,,,,
,CASA,Casa Arkansas ,180 DENNIS DR,West Helena ,EUA,Construir,703-00563-000,2024,https://taxpayment.countyservice.net/County?name=phillips&oldName=phillips,-$ 352.00
,CASA,Casa Arkansas ,162 DENNIS DR,West Helena ,EUA,Construir,703-00563-000,2024,,
,TERRENO ,ARKANSAS ,,West Helena ,EUA,Terreno ,703-00570-000,2024,,
,,,,,,,,,,-$ 352.00
