ENTRADA,$ 1000.00,12 fev.,,$ 1000.00
15 fev. 25,$	300.00,28 fev.,,$ 300.00
22 fev. 25,$	300.00,11 mar.,,$ 300.00
1 mar. 25,$	300.00,22 mar.,,$ 300.00
8 mar. 25,$	300.00,27 mar.,,$ 300.00
15 mar. 25,$	300.00,6 abr.,,$ 300.00
22 mar. 25,$	300.00,7 abr.,,$ 300.00
29 mar. 25,$	300.00,14 abr.,,$ 300.00
5 abr. 25,$	300.00,18 abr.,,$ 300.00
12 abr. 25,$	300.00,23 abr.,,$ 300.00
19 abr. 25,$	300.00,29 abr.,,$ 300.00
26 abr. 25,$	300.00,1 mai.,,$ 300.00
3 mai. 25,$	300.00,15 mai.,,$ 300.00
10 mai. 25,$	300.00,,,$ 300.00
17 mai. 25,$	300.00,,,$ 300.00
24 mai. 25,,,,$ 5200.00
