Dia ,Obs ,Fotos ,Gastos $
4 nov. 24,Compra ,,$	2229.00
6 nov. 24,Farol diante,,$	102.00
8 nov. 24,AirTag ,,$	30.00
8 nov. 24,Radiador u ,,$	90.00
8 nov. 24,Bumper ,,$	90.00
10 nov. 24,Est copart,,$	75.00
12 nov. 24,O Reily ,,$	35.00
14 nov. 24,Seguro ,,$	140.00
14 dez. 24,Seguro ,,$	110.00
14 jan. 25,Seguro ,,$	110.00
14 fev. 25,Seguro ,,$	110.00
14 mar. 25,Seguro ,,$	110.00
14 abr. 25,Seguro ,,$	110.00
14 mai. 25,Seguro ,,$	110.00
14 jun. 25,Seguro ,,$	110.00
14 jul. 25,Seguro ,,$	110.00
14 ago. 25,Seguro ,,$	110.00
15 nov. 24,Lavagem ,,$	47.00
15 nov. 24,Vistoria ,,$	28.00
15 nov. 24,RDS salvag,,$	200.00
15 nov. 24,Soquete seta,,$	35.00
18 nov. 24,Bateria ,,$	249.21
20 nov. 24,Placas ,,$	170.00
20 nov. 24,Despachante ,,$	100.00
20 nov. 24,Extra fees,,$	60.00
25 nov. 24,Envio placa,,$	35.00
6 jan.,Uber,,$	19.00
22 mai.,Cartório,,$	15.00
outubro,SEGURO 9 MES,,$	900.00
28 out.,DMV TAXA,,$	27.00
5 dez.,FIRMA,,$	15.00
5 dez.,CORREIO ,,$	24.00
Total ,,,$	5705.21
