,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
2023,,,,,
,janeiro 25,COMPRA ,,$	1460.00,
,janeiro 26,GUINCHO ,,$	400.00,
,fevereiro 10,TAPETES ,,$	20.00,
,fevereiro 14,MULTA VIDRO ,,$	50.00,
,fevereiro 14,MULTA VIDRO ,,$	61.00,
,fevereiro 14,POLICIA,,$	131.00,
,fevereiro 14,OLEO TRANSM,,$	150.00,
,fevereiro 14,GUNCHO PRESO ,,$	423.00,
,fevereiro 15,SMOG ,,$	40.00,
,fevereiro 15,PLACAS ,,$	25.00,
,fevereiro 15,DMV TAXAS,,$	255.00,
,março 3,OLEO ,,$	60.00,
,março 23,PARABRIZA ,,$	270.00,
,abril 3,Reembolso guincho ,,,$	350.00
,abril 18,Amiga artur ,,,$	150.00
,abril 18,Som ,,$	152.00,
,agosto 1,DOC end ,,$	50.00,
,agosto 9,Lavagem ,,$	15.00,
,dezembro 10,Licenciamento ,,$	165.00,
,dezembro 10,Seguro ,,$	1000.00,
2024,,,,,
,fevereiro 1,Gasolina ,,$	10.00,
,março 6,Chave ,,$	22.00,
,março 27,Corte chave ,,$	90.00,
,março 27,2 pneus novos ,,$	110.00,
,abril 3,Insta pneus ,,$	50.00,
,maio 2,MULTA G,,$	70.95,
,outubro 4,Lavagem ,,$	8.00,
,outubro 10,Carga gas ,,$	100.00,
,outubro 11,Vendido ,,,$	3000.00
(em branco),,,,,
,,,,,
,,,,,
,Total ,,,$	5187.95,$	3500.00
