Dia ,Obs ,Fotos ,Gastos $
15 mai.,COMPRA ,,$	1655.00
19 mai.,TAXA ,,$	15.00
19 mai.,ALUGUEL TRALER ,,$	140.00
19 mai.,GASOLINA ,,$	15.00
21 mai.,LAVAGEM ,,$	8.00
23 mai.,GASOLINA ,,$	60.00
23 mai.,DEELER ,,$	150.00
23 mai.,AIRTAG ,,$	30.00
17 jun.,LAMPADA,,$	15.00
17 jun.,SMOG ,,$	50.00
17 jun.,BREAK LIGHT ,,$	200.00
17 jun.,LAVAGEM ,,$	8.00
20 jun.,TRASNF ,,$	698.00
13 jul.,CAPO ,,$	90.00
13 jul.,FERRAMENTA ,,$	40.00
13 jul.,AJUDANTE ,,$	15.00
6 out.,ALINHAR,,$	65.00
,,,
,,,
,,,
,,,
Total ,,,$	3254.00
