Dia ,Obs ,Fotos ,Gastos $
15 out.,COMPRA ,,$	979.84
15 out.,DEALER ,,$	200.00
out. 15,CARFAX,,$	25.00
out. 16,SMOG ,,$	50.00
18 out.,ESTADIA ,,$	5.00
18 out.,LAVA,,$	14.00
18 out.,GASOLINA ,,$	30.00
18 out.,PECAS ,,$	74.00
19 out.,PEN PINTAR ,,$	23.00
20 out.,ALAVANCA ,,$	17.00
21 out.,CABECOTE ,,$	1400.00
30 out.,LAVAGEM ,,$	5.00
30 out.,PECAS PARACHOQUE ,,$	55.00
10 nov.,CARFAX,,$	5.00
25 nov.,PAINEL ,,$	57.00
1 dez.,SENSOR ,,$	59.00
2 dez.,GASOLINA ,,$	20.00
3 dez.,GASOLINA ,,$	20.00
4 dez.,PAIEL ,,$	350.00
7 dez.,GASOLINA ,,$	20.00
,,,
Total ,,,$	3408.84
