,Carro ,Placa
DIA,DESCRIÇAO ,VALOR 
21 jun. 25,26 jun.,$ 55.00
28 jun. 25,5 jul.,$ 50.00
5 jul. 25,11 jul.,$ 50.00
12 jul. 25,2 ago.,$ 50.00
19 jul. 25,2 ago.,$ 50.00
26 jul. 25,2 ago.,$ 50.00
2 ago. 25,,-$ 50.00
9 ago. 25,,-$ 50.00
16 ago. 25,,-$ 50.00
23 ago. 25,,-$ 50.00
30 ago. 25,,-$ 50.00
6 set. 25,,-$ 50.00
13 set. 25,,-$ 50.00
20 set. 25,,-$ 50.00
27 set. 25,,-$ 50.00
4 out. 25,,-$ 50.00
11 out. 25,,-$ 50.00
17 out.,Pago ,$ 550.00
18 out. 25,Seguro ,-$ 50.00
Saldo Devedor ,,-$ 50.00
