,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
2022,,,,,
,dez. 6,COMPRA ,,$	2661.00,
,dez. 21,GUINCHO ,,$	350.00,
2023,,,,,
,dez. 21,Ext guincho ,,$	150.00,
,jan. 25,PIT STOP TRANSMISSAO ,,$	800.00,
,jan. 26,Kit pneu e macaco ,,$	59.00,
,jan. 28,CHAVE ,,$	50.00,
,mar. 17,Bateria ,,$	236.00,Garantia 
,mar. 18,Tapetes ,,$	68.00,
,mar. 28,TRANSFERENCIA ,,$	843.00,
,abr. 3,Bateria garantia ,,$	160.00,
,abr. 13,GASOLINA ,,$	10.00,
,abr. 27,GASOLINA ,,$	30.00,
,abr. 27,TAPETES ,,$	99.00,
,abr. 27,COXIN ,,$	61.00,
,mai. 1,OLEO TRANSM ,,$	38.00,
,mai. 3,BANDEJAS ,,$	200.00,
,mai. 3,TIRE ROD ,,$	34.00,
,mai. 4,VALVULA E VELA ,,$	79.00,
,mai. 9,Parafuso ,,$	31.00,
,mai. 24,Capa farol de milha ,,$	18.00,
,mai. 25,Porta carregador ,,$	280.00,
,jun. 9,Pneus novos ,,$	220.00,
,jun. 9,Painel ,,$	50.00,
,jun. 9,Cv axe ,,$	332.00,
,jun. 9,Alinhamento ,,$	75.00,
,jun. 9,SERVICO BRENO ,,$	540.00,
,jun. 12,Limpa catalizador ,,$	28.00,
,jun. 21,Alinhamento ,,$	75.00,
,jun. 22,Amortecedor ,,$	220.00,
,jun. 22,Troca boia ammort,MO ,$	500.00,
,jun. 22,Corte chave ,,$	40.00,
,jun. 22,Amortecedor diante ,,$	238.00,
,jun. 29,LIMPA CATALIZADOR ,,$	21.00,
,jun. 29,Alinhamento ,,$	75.00,
,jun. 29,GASOLINA ,,$	25.00,
,jun. 29,LIMPA CATALIZADOR ,,$	30.00,
,jul. 14,SUPORTE CAPO ,,$	7.00,
,jul. 14,SENSOR PNEU ,,$	14.00,
,jul. 20,Sensor pneu insta ,,$	40.00,
,ago. 28,TOCA DE OLEO ,F3,$	75.00,
,Total ,,,$	8862.00,$	0.00
