Dia ,Obs ,Fotos ,Gastos $,Recebidos 
nov. 25,COMPRA ,,$	2896.00,
nov. 28,GUINCHO ,,$	350.00,
jan. 10,PECAS ,,$	1580.00,
jan. 10,FUNILEIRO ,,$	1100.00,
jan. 12,Smog ,,$	40.00,
jan. 10,Lampadas milha,,$	50.00,
jan. 10,Kit pneu e macaco ,,$	60.00,
jan. 12,Parafusos pneu ,,$	20.00,
jan. 12,Logos da porta ,,$	59.00,
jan. 12,Laudo luzes ,,$	100.00,
jan. 12,Documento ,,$	239.00,
jan. 20,Chave programação ,,$	60.00,
jan. 30,Filtro de ar ,,$	23.00,
fev. 6,PNEUS ,,$	120.00,
mar. 23,PARABRIZA ,,$	330.00,
abr. 5,COMPRESSOR ,,$	11.00,
jun. 9,Disco e pastilha ,MTY ,$	300.00,
jun. 22,Freio traseiro ,,$	300.00,
jul. 14,LICENCIAMNTO ,DMV,$	154.00,
ago. 14,Oleo motor ,,$	50.00,
,,,,
Total ,,,$	7842.00,$	0.00
