,Dia ,Obs ,Fotos ,Gastos $
jul. 2022,,,,
,jul. 27,COMPRA ,,$	4168.00
,jul. 27,GUINCHO ,,$	500.00
ago. 2022,,,,
,ago. 1,PORTA ,,$	350.00
,24 ago.,Oleo e lampada,,$	60.00
,ago. 24,Entregue Marcos ,,
,ago. 25,Doc ,,$	535.00
,ago. 25,Smog ,,$	120.00
,ago. 25,Oleo e lampada,,$	60.00
out. 2022,,,,
,out. 10,Oleo ,,$	50.00
dez. 2022,,,,
,dez. 2,KIT PNEU ,,$	7.00
,dez. 6,GASOLINA ,,$	53.00
,dez. 15,KIT NATAL ,,$	15.00
,dez. 15,KIT MACACO ,,$	52.00
,dez. 21,Oleo ,,$	50.00
,dez. 21,LAMINA DA CHAVE ,,$	7.00
jan. 2023,,,,
,"jan. 19, 23",Chave copia,,$	100.00
mar. 2023,,,,
,mar. 13,Oleo,,$	50.00
abr. 2023,,,,
,abr. 10,TROCA 4 PNEU ,,$	440.00
,abr. 27,COMPRESSOR ,,$	11.00
mai. 2023,,,,
,mai. 3,PALHETAS ,,$	20.00
,mai. 22,Lavagem ,,$	3.00
jun. 2023,,,,
,jun. 10,Troca de oleo ,,$	50.00
jul. 2023,,,,
,jul. 14,LICENCIAMNRO ,DMV,$	157.00
,jul. 17,ALINHAMENTO ,,$	75.00
ago. 2023,,,,
,ago. 11,Insulfilme ,,$	210.00
,TOTAL ,,,$	7143.00
