,,C-Max,8YQB922,,BRANCO,
,ANO ,Dia ,Obs ,Fotos ,Gastos $,
2019,,,,,,
jun. 2022,,,,,,
,2019,6/1,COMPRA ,,$ 5500.00,
,2019,6/1,Aluguéis anteriores media ,,,$ 28800.00
2021,,,,,,
out. 2022,,,,,,
,2021,10/11,Troca de oleo ,,,
2022,,,,,,
ago. 2022,,,,,,
,2022,ago. 2,Fastrak,,$ 7.00,
,2022,"ago. 15, 22",Pneu ,,$ 220.00,
,2022,ago. 25,ROLAMENTO E COCHINHO ,,$ 150.00,
set. 2022,,,,,,
,2022,set. 6,AMORTECEDOR ,,$ 160.00,
nov. 2022,,,,,,
,2022,nov. 5,FILTRO DE AR ,,$ 29.00,
,2022,nov. 9,DMV LIC ,,$ 170.00,
,2022,nov. 9,TROCA DE OLEO ,201.713,$ 50.00,
,2022,nov. 9,RECAAL,,,
dez. 2022,,,,,,
,2022,dez. 1,KIT PNEU ,,$ 7.00,
,2022,dez. 15,KIT MACACO ,,$ 52.00,
,2022,dez. 15,"PR,NATAL ",,$ 15.00,
2023,,,,,,
fev. 2023,,,,,,
,2023,fev. 23,Aspirar ,,$ 4.50,
,2023,fev. 23,Gasolina ,,$ 18.50,
,2023,fev. 28,ROLAMENTO ,,$ 206.00,
mar. 2023,,,,,,
,2023,mar. 29,TROCA DE OLEO ,,$ 50.00,
mai. 2023,,,,,,
,2023,mai. 15,COMPRESSOR,,$ 11.00,
,2023,mai. 15,BANDEJA ,,$ 201.00,
,2023,mai. 15,TIE ROD ,,$ 34.00,
,2023,mai. 15,AMORTECEDOR ,,$ 266.00,
,2023,mai. 17,SMOG ,,$ 60.00,
,2023,mai. 22,Banco costura ,,$ 80.00,
,2023,mai. 19,LUIZA Ate maio 24 ,,,$ 250.00
,2023,mai. 24,Para barro ,,$ 54.00,
jun. 2023,,,,,,
,2023,jun. 21,TROCA DE BANDEJA E ROLAMENTO ,,$ 225.00,
,2023,jun. 24,Troca de oleo ,,$ 50.00,
jul. 2023,,,,,,
,2023,jul. 1,VELAS MOTOR,,$ 43.00,
set. 2023,,,,,,
,2023,set. 7,Licenciamento,,$ 172.00,
,2023,set. 18,PNEUS ,,$ 240.00,
,2023,set. 18,Troca de oleo ,,$ 75.00,
(em branco),,,,,,
,2023,,,,,
,,TOTAL ,,,$ 8150.00,$ 250.00
