Dia ,Obs ,Fotos ,Gastos $,Recebidos 
mai. 10,COMPRA ,,$	3233.00,
mai. 10,KIT PNEU ,,$	62.00,
mai. 10,PARAFIUSO ,,$	20.00,
mai. 10,FILTRO AR ,,$	16.00,
mai. 10,FAROL ,,$	318.00,
mai. 10,BUMPER E GRILL,,$	510.00,
mai. 10,ALOMOCO FRETE ,,$	90.00,
mai. 10,GASOLINA ,,$	110.00,
mai. 10,CAR FAX ,,$	20.00,
mai. 10,COMPRESSOR ,,$	11.00,
mai. 11,BREAK LIGHT ,,$	100.00,
mai. 11,PALHETAS ,,$	20.00,
mai. 11,TAPETES ,,$	99.00,
mai. 12,GRILL ,,$	203.00,
mai. 16,SUPORTE BUPER E MINE FRENTE ,,$	446.00,
mai. 24,Cabo bumper ,,$	43.00,
mai. 24,Farol de milha ,,$	37.00,
ago. 30,TROCA DE OLEO ,F3,$	75.00,
set. 7,LAVAGEM ,,$	23.00,
set. 13,2 PNEUS NOVOS ,,$	220.00,
set. 14,PALHETAS ,,$	24.00,
set. 21,JUMPER ,,$	65.00,
set. 25,PARABRISA ,,$	350.00,
,,,,
Total ,,,$	6095.00,$	0.00
