Dia ,Obs ,Fotos ,Gastos $,Recebidos 
mai. 12,COMPRA,,$	3615.00,
mai. 12,FAROL,,$	318.00,
mai. 12,KIT PNEU ,,$	62.00,
mai. 12,COMPRESSOR ,,$	11.00,
mai. 12,PALHETA ,,$	20.00,
mai. 12,TAPETES ,,$	99.00,
mai. 15,GASOLINA ,,$	55.00,
mai. 15,LAVAGEM ,,$	5.00,
mai. 15,DESPACHANT ,,$	234.00,
mai. 15,ALMOCO ,,$	35.00,
mai. 15,GAS COSTCO ,,$	70.00,
mai. 16,BREAK LIGHT ,,$	100.00,
mai. 16,Mini frente ,,$	100.00,
mai. 17,Parachoque ,,$	240.00,
mai. 17,Paralama ,,$	150.00,
mai. 20,Funileiro M.Obra ,,$	800.00,
mai. 18,Bracket ,,$	13.00,
mai. 19,Caixa modulo ,,$	41.00,
mai. 24,Para barro ,,$	27.00,
jun. 9,Parabrisa ,,$	330.00,
jun. 9,Troca de oleo ,,$	50.00,
jun. 17,SENSOR DO AR ,,$	18.00,
jun. 26,Troca de oleo ,,$	50.00,
jun. 26,Oleo transmissão ,,$	100.00,
jun. 29,BATERIA CHAVE,,$	10.00,
jul. 14,GUINCHO ,,$	250.00,
jul. 16,MANGUEIRA ,,$	34.00,
jul. 16,PNEUS NOVOS ,,$	220.00,
jul. 19,MO FREIO ,,$	85.00,
jul. 20,LICENCIAMENTO ,,$	154.00,
ago. 21,Troca de oleo ,,$	50.00,
set. 29,Pneu novo ,,$	220.00,
set. 29,Palhetas ,,$	24.00,
,,,,
Total ,,,$	7590.00,$	0.00
