Dia ,Obs ,Fotos ,Gastos $,Recebidos 
abr. 24,COMPRA ,,$	3265.00,
abr. 27,KIT PNEU ,,$	58.00,
abr. 27,PORCAS ,,$	20.00,
abr. 27,CAR FAX ,,$	20.00,
abr. 27,SMOG E LIGHTD ,,$	120.00,
abr. 27,ALMOCO ,,$	17.00,
abr. 27,GASOLINA ,,$	54.00,
abr. 27,LAVAGEM ,,$	7.00,
abr. 27,COMPRESSOR ,,$	11.00,
abr. 27,LAMPADAS ,,$	20.00,
abr. 27,PROG CHAVE ,,$	60.00,
abr. 27,TRASNFERENCIA ,,$	240.00,
abr. 28,Tapete ,,$	99.00,
abr. 28,Caneta tinta ,,$	23.00,
abr. 29,Filtro de ar ,,$	15.00,
mai. 1,CANETA TINTA ,,$	28.00,
mai. 3,OLEO TRANSM ,,$	38.00,
mai. 5,TROCA OLEO TRNS ,,$	80.00,
jun. 1,PENUS ,,$	220.00,
jun. 1,TROCA DE OLEO ,,$	50.00,
jun. 1,LAMPADA ,,$	20.00,
junho,LUIZA ATE 25/06,,,$	250.00
jun. 27,GUINCHO ,,$	20.00,
jun. 27,UBER ,,$	50.00,
jul. 9,GASOLINA ,LUIZA ,$	43.00,
jul. 9,Com Jinner ate 17/07,,,
jul. 19, TROCA DE TRASNMISSAO ,F3 ,$	846.00,
jul. 19,OLEO TRANSM ,F3 ,$	100.00,
ago. 22,TROCA DE OLEO ,MTY,$	50.00,
set. 7,Licenciamento ,,$	154.00,
Total ,,,$	5728.00,$	250.00
