CARRO 9FUJ568,23/04/2023,CONTA 12/6/2023,OBS 
DIA DE PAGAMENTO ,$ CARRO ,$ CONTA ,
abr. 30,$	250.00,$ 0.00,
mai. 7,$	250.00,$ 0.00,
mai. 14,$	250.00,$ 0.00,
mai. 21,$	250.00,$ 0.00,
mai. 28,$	250.00,$ 0.00,
jun. 1,$	290.00,9FUJ568,FASTRAK
jun. 4,$	250.00,$ 0.00,
jun. 11,$	250.00,$ 150.00,
jun. 18,$	250.00,$ 150.00,
jun. 20,$	50.24,BRANCO ,GASOLINA 
jun. 23,$	250.00,$ 0.00,
jun. 25,$	250.00,$ 150.00,
jul. 2,$	250.00,$ 150.00,
jul. 9,$	250.00,$ 150.00,
jul. 14,$	9.40,9FSM563,FASTRAK
jul. 14,$	14.00,9FSM563,FASTRAK
jul. 15,$	103.00,9FUJ568,FASTRAK
jul. 16,$	250.00,$ 150.00,
jul. 23,$	250.00,$ 150.00,
jul. 27,$	10.80,9FSM563,FASTRAK
jul. 29,$	14.00,9FSM563,FASTRAK
jul. 30,$	250.00,$ 150.00,
ago. 1,$	60.00,MACACO ,
ago. 1,$	20.00,LAVAGEM ,
ago. 1,$	30.00,GASOLINA  PRATA,
ago. 1,$	7.00,9FSM563,FASTRAK
ago. 1,$	14.00,9ETZ038,FASTRAK
ago. 6,$	250.00,$ 150.00,
ago. 10,$	847.00,PRATA ,BATIDA
ago. 10,$	28.00,8YES705,FASTRAK
ago. 10,$	24.90,9ETZ038,FASTRAK
ago. 13,$	250.00,$ 150.00,
ago. 20,$	250.00,$ 150.00,
ago. 21,$	23.25,8YES705,FASTRAK
ago. 27,$	250.00,$ 150.00,
ago. 31,$	34.80,9ETZ128,FASTRAK
ago. 31,$	4.30,8YES705,FASTRAK
set. 3,$	250.00,$ 150.00,
set. 10,$	250.00,$ 150.00,
set. 17,-,$ 150.00,
,,,
,,,
VALOR ,$	6834.69,$ 2250.00,
TOTAL ,$ 9084.69,,
