Dia ,Obs ,Fotos ,Gastos $,Recebidos 
ago. 21,Compra ,,$	5342.00,
ago. 21,Guincho ,,$	400.00,
ago. 21,Macaco ,,$	53.00,
ago. 21,Reparo ,,$	7.00,
ago. 21,Alicate ,,$	3.00,
ago. 21,compressor,,$	12.00,
ago. 21,Jumper ,,$	65.00,
ago. 21,Tag,,$	30.00,
ago. 22,Chaves,,$	143.00,
ago. 22,Programar chave ,,$	250.00,
ago. 25,Bateria Nova,,$	223.00,
ago. 25,Lavagem ,,$	7.00,
ago. 25,Smog,,$	150.00,
ago. 25,Gasolina ,,$	39.00,
ago. 29,TAPETE ,,$	63.00,
ago. 31,PARAFUSOS ,,$	20.00,
,,,,
Total ,,,$	6807.00,$	0.00
