,,Outlander,8ZBP611,,RED,GERALDO
,ANO ,Dia ,Obs ,Fotos ,Gastos $,Recebidos 
2023,,,,,,
,2023,set. 7,Licenciamento ,,$	263.00,
,2023,jan. 24,OLEO CAMBIO ,,$	250.00,
,2023,fev. 13,ALUGUEL 1 SEM ,,,$	220.00
,2023,fev. 26,Grade cromada ,,$	43.00,
,2023,fev. 26,Capa farol ,,$	22.00,
,2023,fev. 26,Capa atras ,,$	21.00,
,2023,mar. 18,Pneus novos ,,$	500.00,
,2023,mar. 22,FREIOS ,,$	150.00,
,2023,abr. 3,Trem ,,$	9.00,
,2023,abr. 3,LAMPADAS,,$	39.00,
,2023,abr. 3,Cartão ,,$	99.00,
,2023,ago. 2,Troca de oleo ,,$	75.00,
,2023,ago. 9,TROCA DE OLEO ,PS ,$	85.00,
,2023,ago. 16,LAMPADA ,,$	46.00,
2022,,,,,,
,2022,nov. 9,DMV LIC ,,$	270.00,
,2022,dez. 16,LAMPADAS E PALHETAS ,,$	59.00,
,2022,dez. 30,Cabo camera ,,$	15.00,
(em branco),,,,,,
,,set. 8,CINTO DE SEGURANCA ,,$	57.00,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,TOTAL ,,,$	2003.00,$	220.00
