Dia ,Obs ,Fotos ,Gastos $
8 nov. 24,Compra ,,$	1428.00
8 nov. 24,Air tag ,,$	30.00
12 nov. 24,2 portas ,,$	400.00
18 nov. 24,Bateria ,,$	210.00
19 nov. 24,Gasolina ,,$	25.00
19 nov. 24,Cinta ,,$	25.00
20 nov. 24,Extra fees,,$	35.00
24 nov. 24,Despachante ,,$	655.00
4 dez. 24,Uber ,,$	32.00
5 dez. 24,Mecânico ,,$	300.00
9 dez. 24,Para-lama ,,$	160.00
18 dez. 24,Uber ,,$	31.00
22 jan.,Chave ,,$	40.00
10 fev.,Seguro ,all,$	115.00
13 fev.,Funileiro ,,$	1200.00
19 fev.,Gasolina ,,$	30.00
20 fev.,Lavagem ,,$	19.00
10 fev.,SEGURO ,,$	115.00
19 fev.,GASOLINA ,,$	30.00
20 fev.,LAVAGEM ,,$	20.00
10 mar.,SEGURO ,,$	115.00
10 abr.,SEGURO ,,$	115.00
10 mai.,SEGURO ,,$	115.00
10 jun.,SEGURO ,,$	115.00
10 jul.,SEGURO ,,$	115.00
10 ago.,SEGURO ,,$	115.00
10 set.,SEGURO ,,$	115.00
19 mai.,TAXA DMV ,,$	14.00
19 mai.,REC FIRMA ,,$	15.00
1 set.,ASPIRAR ,,$	3.00
1 set.,FILTRO DE AR,,$	32.00
28 out.,DMV TAXA,,$	27.00
Total ,,,$	5796.00
