Dia ,Obs ,Fotos ,Gastos $
17 jun.,TROCA VELAS ,,$	79.00
17 jun.,LAMPADA,,$	30.00
19 jun.,LAMPADA FOG ,,$	25.00
19 jun.,GASOLINA ,,$	20.00
19 jun.,CHNA ,,$	50.00
19 jun.,ALMOCO ,,$	10.00
15 jul.,PNEU ,,$	220.00
11 set.,PCS MO,,$	308.00
11 set.,OLEO TR,,$	140.00
11 set.,BANDJA,,$	630.00
11 set.,VELAS,,$	79.00
11 set.,ALAVANC,,$	80.00
11 set.,LAMPADA,,$	55.00
11 set.,CV AXEL,,$	175.00
11 set.,AMORT,,$	260.00
12 set.,OLEO TR,,$	140.00
12 set.,JUMPER ,,$	70.00
12 set.,FREIO  FX,,$	308.00
12 set. 25,BANDEJAS ,,$ 635.00
12 set. 25,VELAS E FILTRO ,,$ 78.70
12 set. 25,ALAVANCA FREIO ,,$ 80.00
12 set. 25,LAMPADAS ,,$ 55.00
12 set. 25,OLEO TRANS ,,$ 140.00
12 set. 25,CV AXEL ,,$ 175.00
12 set. 25,AMORTECEDOR ,,$ 260.00
5 dez. 25,SUSPENSAO ,,$ 300.00
12 set. 25,,,
Total ,,,$	4402.70
