Dia ,Obs ,Fotos ,Gastos $
4 nov. 24,COMPRA ,,$	281.00
6 nov. 24,ARTHUR ,,$	30.00
6 nov. 24,UBER ,,$	10.00
6 nov. 24,GASOLINA ,,$	20.00
8 nov. 24,AIR TAG ,,$	30.00
8 nov. 24,2 PORTAS ,,$	400.00
8 nov. 24,VIDRO TRS,,$	278.00
8 nov. 24,UBER ,,$	12.00
12 nov. 24,FERRAMENTAS ,,$	150.00
12 nov. 24,OREILY ,,$	35.00
14 nov. 24,SEGURO ALLSTATE ,,$	140.00
14 dez. 24,SEGURO ALLSTATE ,,$	140.00
14 jan. 25,SEGURO ALLSTATE ,,$	140.00
14 fev. 25,SEGURO ALLSTATE ,,$	140.00
14 mar. 25,SEGURO ALLSTATE ,,$	140.00
14 abr. 25,SEGURO ALLSTATE ,,$	140.00
14 mai. 25,SEGURO ALLSTATE ,,$	140.00
14 jun. 25,SEGURO ALLSTATE ,,$	140.00
14 jul. 25,SEGURO ALLSTATE ,,$	140.00
14 ago. 25,SEGURO ALLSTATE ,,$	140.00
20 nov. 24,SMOG ,,$	350.00
20 nov. 24,PLACA E TX,,$	170.00
20 nov. 24,DESPACHANTE ,,$	100.00
30 nov. 24,UBER ,,$	30.00
7 dez. 24,Uber ,,$	30.00
21 mai.,Taxa seguro ,,$	14.00
10 jul.,Reconhecer firma ,,$	15.00
Total ,,,$	3355.00
