Dia ,Obs ,Fotos ,Gastos $,Recebidos 
dez. 13,COMPRA ,,$ 1862.00,
dez. 14,PNEU ,,$	65.00,
dez. 14,BOLACHA SUBORNO ,,$	15.00,
dez. 14,PISCA E PARACHOQUE ,,$	35.00,
dez. 15,DOCUMENTO,,$	411.00,
dez. 15,OLEO ,,$	60.00,
dez. 16,PALHETAS ,,$	16.00,
dez. 17,TAPETE,,$	37.00,
dez. 21,RENOVA ,,$	150.00,
dez. 22,LAMPADAS ,,$	17.00,
dez. 30,Camera ,,$	76.00,
dez. 30,Cabo de camera ,,$	17.00,
dez. 30,Suporte carregar ,,$	22.00,
jan. 31,Pedagio ,,$	9.40,
abr. 24,Car fax,,$	20.00,
mai. 5,VENDA ,,,$	4000.00
,,,,
Total ,,,$	2812.40,$	4000.00
