Dia ,Obs ,Fotos ,Gastos $
16 jan.,COMPRA ,,$	1612.00
16 jan.,DOC ,,$	388.00
17 jan.,SMOG ,,$	50.00
jan. 17,FRET ,,$	400.00
21 jan.,CAPO ARM ,,$	13.00
21 jan.,MAQN VIDRO ,,$	81.00
25 jan.,BATERIA ,,$	227.00
25 jan.,PALHETA,,$	18.00
30 jan.,PECA ,,$	63.00
30 jan.,LAVAGEM ,,$	12.00
13 fev.,OLEO TRANS,,$	41.00
27 fev.,OLEO MT,,$	50.00
27 fev.,BALANC,,$	20.00
27 fev.,SERV TRANS ,,$	80.00
25 mar.,CARGA GAS ,,$	100.00
17 abr.,MANG GAS ,,$	300.00
1 mai.,F3 MO ,,$	360.00
12 mai.,OLEO E GAS ,,$	210.00
Total ,,,$	4025.00
