Placa,Marca,Modelo,Ano,Valor,Status
9PFF788,KIA,KIA - HW,2011,"3546,00",GARAGEM
9TZP058,C,C-MAX,2013,N/A,ALUGADO
9FSM487,C,C-MAX,2014,N/A,ALUGADO
9HJJ759,C,C-MAX,2015,N/A,PT
9LHB706,C,C-MAX,2014,N/A,TX
8ZBP611,Outlander,Outlander,2017,N/A,TX
9KNP013,Outlander,Outlander,2016,N/A,TX
9NJN061,RV,RV,2000,N/A,TX
9FSM542,BB SMURF,BB SMURF,2007,N/A,TX
9HFY639,MKZ,MKZ,2014,N/A,LAS
9KNP079,Outlander,Outlander,2016,N/A,LAS
8ZMH712,C,C-MAX,2013,"3750,00",PARCELA
9NBL362,C,C-MAX,2013,"3750,00",PARCELA
9ETZ128,FUSION,FUSION,2013,"4410,50",PARCELA
9FUJ568,C,C-MAX,2013,"7700,00",PARCELA
9FSM563,C,C-MAX,2013,"5000,00",PARCELA
9TXJ316,C,C-MAX,2014,"4320,00",PARCELA
9HRT558,MKZ,MKZ,2015,"1171,00",PARCELA
9KVR829,MKZ,MKZ,2016,"1018,10",PARCELA
9EBL823,FUSION,FUSION,2017,"10411,00",PARCELA
9PFF787,KIA,KIA - HW,2014,"2548,21",VENDIDO
8YQB922,C,C-MAX,2013,"4700,00",VENDIDO
9BTG007,C,C-MAX,2013,"6988,05",VENDIDO
9EBL950,C,C-MAX,2013,"9000,00",VENDIDO
9EPA280,C,C-MAX,2013,"4597,30",VENDIDO
9ETZ258,RV,RV,1994,"11648,00",VENDIDO
9NTW055,SONATA,SONATA,2013,"6295,75",VENDIDO
9ROZ437,SONATA,SONATA,2013,"3879,00",VENDIDO
9HGT166,C,C-MAX,2013,"10798,00",VENDIDO
8YVE373,C,C-MAX,2013,"6000,00",VENDIDO
9etz145,CIVIC,CIVIC,2009,"3788,50",VENDIDO
9DTS338,GOLF,GOLF,2002,"1187,60",VENDIDO
9PFF786,KIA,KIA - HW,2010,"2276,00",VENDIDO
04441M3,PERERECA,PERERECA,2001,"5562,93",VENDIDO
9EAV527,PT CRUISER,PT CRUISER,2006,"10,24",VENDIDO
16905B4,RAM VAN,RAM VAN,2000,"2642,00",VENDIDO
9SAR708,VERSA,VERSA,2014,"11,25",VENDIDO
