,Comprovante,Marca ,Loja ,$,Entrega,Obs ,Pagamento ,Entrega ,Link 
Geladeira,,Brastemp,Ponto frio ,R$ 4160.00,R$ 55.00,462 L,10x sem juros ,5 jul.,https://www.pontofrio.com.br/Eletrodomesticos/GeladeiraeRefrigerador/geladeira-2-portas/geladeira-brastemp-duplex-brm55bk-frost-free-com-painel-eletronico-e-turbo-control-462-l-inox-55058579.html
Microondas ,,Eletrolux ,Ponto frio ,R$ 768.00,R$ 15.00,31 L,12x sem juros ,24 jun.,https://www.pontofrio.com.br/Eletrodomesticos/FornodeMicroondas/micro-ondas-electrolux-com-31-litros-de-capacidade-prata-mi41s-1508881084.html?IdSku=1508881084
Exaustor ,,Sugar ,Ponto frio ,R$ 290.00,R$ 30.00,,12x sem juros ,24 jun.,https://www.pontofrio.com.br/Eletrodomesticos/DepuradoresdeAr/depurador-de-ar-slim-suggar-60-cm-inox-dps161ix-127-volts-1559282554.html?IdSku=1559282554
Lava e seca,,Philco ,Ponto frio ,R$ 2800.00,R$ 305.00,10 kg ,12x sem juros ,24 jun.,https://www.pontofrio.com.br/Eletrodomesticos/LavadorasLavaeSeca/lava-e-seca-philco-16-programas-eco-inverter-10-kg-inox-pls11t-1556019455.html?IdSku=1556019376
Lava louça,,Brastemp ,Ponto frio ,R$ 2313.00,R$ 15.00,8s,12x sem juros ,24 jun.,https://www.pontofrio.com.br/Eletrodomesticos/LavaLoucas/lava-loucas-brastemp-cinza-metalico-com-08-servicos-e-05-programas-de-lavagem-blf08bb-1553883023.html?IdSku=1553882977
Cervejeira,,Philco ,Ponto frio ,R$ 1900.00,R$ 38.00,91 litros,10x sem juros ,5 jul.,https://www.pontofrio.com.br/agro-industria-comercio/Refrigeracao/Cervejeiras/cervejeira-philco-91l-pcv142p-display-digital-3-em-1-127v-1555358063.html
Cooktop +Forno ,,Brastemp ,Ponto frio ,R$ 2600.00,R$ 70.00,5 bocas ,1x,15 jun.,https://www.pontofrio.com.br/Eletrodomesticos/AcessoriosDeEletromesticos/combo-cooktop-5-bocas-brastemp-forno-de-embutir-eletrico-brastemp-84-litros-bdd75ae-boc84ae-bdd7boc8cj-1555993573.html?IdSku=1555993573
,,,,,,,,,
,,,,,,,,,
,,,,R$ 14831.00,R$ 528.00,,,R$ 15359.00,
