,DIA ,OBS ,DESPESAS ,RECEBIDOS 
2020,,,,
,2020,COMPRA ,R$ 270000.00,
2024,,,,
,6 fev.,Cubas e tanque ,R$ 582.00,
,6 fev.,Moveis ,R$ 6900.00,
,6 fev.,Pedra ,R$ 2350.00,
,6 fev.,Cuba cozinha ,R$ 172.00,
,6 fev.,Torneiras e tomada,R$ 586.00,
,6 fev.,Deposito Garagem ,R$ 7614.00,
,6 mar.,Condominio ,R$ 450.00,
,7 abr.,Condominio ,R$ 450.00,
,10 abr.,Serviço ,R$ 1400.00,
,10 abr.,Materias ,R$ 120.00,
,5 mai.,Ar condicionado ,R$ 11848.00,
,7 mai.,Faxina ,R$ 300.00,
,7 mai.,Condominio ,R$ 450.00,
,9 mai.,Lusres ,R$ 320.00,
,9 mai.,Instalação luz ,R$ 450.00,
,15 mai.,Geladeira,R$ 4215.00,
,15 mai.,Microondas ,R$ 783.00,
,15 mai.,Exaustor ,R$ 320.00,
,15 mai.,Lava e seca,R$ 3105.00,
,15 mai.,Lava louça,R$ 2328.00,
,15 mai.,Cervejeira,R$ 1938.00,
,15 mai.,Cooktop +Forno ,R$ 2670.00,
,22 mai.,Instalação AC ,R$ 3600.00,
,6 jun.,Condominio ,R$ 489.00,
,18 jul.,Condominio ,R$ 499.00,
,22 mai.,Insta lustre ,R$ 100.00,
,19 jun.,Gesso ,R$ 450.00,
,2 jul.,Pintor ,R$ 550.00,
,6 ago.,CONDOMINIO ,R$ 489.00,
,7 ago.,CPFL ,R$ 72.00,
,9 set.,Condominio ,R$ 489.00,
2025,,,,
,3 out.,BOX BANHEIRO ,R$ 1430.00,
,7 out.,Condominio ,R$ 489.00,
,15 out.,BOX BANHEIRO ,R$ 715.00,
,15 out.,CPFL SET ,R$ 73.00,
,15 out.,CPFL ,R$ 38.00,
,15 out.,MATERIAIS ,R$ 300.00,
,15 out.,ELETRICISTA ,R$ 500.00,
,1 nov.,Condominio ,R$ 489.00,
,26 nov.,COOKTO 4 BC ,R$ 799.00,
,5 dez.,NOVA SPE ,R$ 12000.00,
,9 dez.,Condominio ,R$ 489.00,
,16 dez.,MOVEIS ,R$ 2000.00,
,16 dez.,CPFL ,R$ 79.00,
,19 dez.,ACABAMENTO ,R$ 700.00,
,19 dez.,HIDRAULICO ,R$ 517.00,
,19 dez.,MANG AQUEC ,R$ 139.00,
,21 dez.,MT ELETRC ,R$ 112.00,
,21 dez.,ACABEMENTO ,R$ 31.00,
,6 jan.,CPFL ,R$ 36.00,
,6 jan.,Condominio ,R$ 489.00,
,8 jan.,Moveis ,R$ 750.00,
,9 jan.,NANDO ,R$ 500.00,
,13 jan.,FAXINA ,R$ 400.00,
,15 jan.,FERAGENS ,R$ 270.00,
,18 jan.,NANDO ,R$ 235.00,
,14 fev.,CONDOMINIO ,R$ 488.71,
,15 fev.,GUARDA ROUP,R$ 5400.00,
,3/3/2025,COND MARC,R$ 522.00,
,3/3/2025,IPTU 2025,R$ 965.00,
,3/17/2025,ADAP GAZ ,R$ 350.00,
,4/7/2025,EXAUSTOR ,R$ 1130.00,
,5/17/2025,FRIGOBAR,R$ 2030.00,
,5/21/2025,NANDO ,R$ 300.00,
,5/23/2025,NANDO ,R$ 400.00,
,5/23/2025,ADE,R$ 100.00,
,5/23/2025,MATERIAL MOVEIS ,R$ 700.00,
,5/23/2025,AJUSTES ,R$ 500.00,
,5/29/2025,MUDAR AQUECEDOR ,R$ 160.00,
,6/1/2025,CONDOMINIO ,R$ 533.00,
,6/5/2025,MATERIAL PINT,R$ 200.00,
,6/5/2025,SERV EXTRA ,R$ 800.00,
,6/9/2025,AJUSTES ,R$ 250.00,
,8/2/2025,CONDOMINIO ,R$ 533.00,
,8/13/2025,CPFL ,R$ 73.00,
,8/13/2025,CPFL ,R$ 128.00,
,8/13/2025,CPFL ,R$ 117.00,
,8/13/2025,CPFL ,R$ 140.00,
,9/29/2025,CONC GELADEIRA,R$ 360.00,
2026,,,,
,24 fev. 26,IPTU 2026,R$ 966.00,
,2 abr.,Nando Organizar ,R$ 200.00,
,10 abr.,CONDOMINIO ,R$ 550.00,
,20 mai.,ESCRITURA ,R$ 1277.00,
(em branco),,,,
,,,,
,,,R$ 368841.71,R$ 0.00
