,ANO ,DIA ,OBS ,DESPESAS ,RECEBIDOS 
2016,,,,,
,2016,2016,COMPRA ,R$ 170000.00,
2024,,,,,
,2024,2 jan.,Condominio ,R$ 452.00,
,2024,2 jan.,Gas ,R$ 78.00,
,2024,3 jan.,Natação Toni ,R$ 657.00,
,2024,3 jan.,Luz ,R$ 92.00,
,2024,5 jan.,Garagem ,,R$ 100.00
,2024,8 jan.,Iptu ,R$ 623.09,
,2024,15 jan.,Condominio ,R$ 480.12,
,2024,2 fev.,Fechadura nova ,R$ 250.00,
,2024,5 fev.,Gas ,R$ 63.43,
,2024,20 fev.,Ze retirar coisas ,R$ 250.00,
,2024,20 fev.,Copias chaves ,R$ 200.00,
,2024,26 fev.,Faxina ,R$ 300.00,
,2024,28 fev.,Condominio ,R$ 468.00,
,2024,2 mar.,Condominio ,R$ 495.71,
,2024,6 mar.,Gas ,R$ 22.49,
,2024,17 abr.,Gas ,R$ 22.49,
,2024,,Inquilina DESISTIU ,,R$ 616.00
2025,,,,,
,2025,20 fev.,IPTU  2025 ,R$ 611.16,
,2025,25 abr.,ARRUMAR VAZAMENTO DRENO ,R$ 600.00,
,2025,25 abr.,PINTURA ,R$ 200.00,
,2025,28 abr.,MATERIAL PINTURA ,R$ 400.00,
,2025,3 mai.,PINTOR ,R$ 850.00,
,2025,7 mai.,Condominio ,R$ 514.00,
,2025,7 mai.,HIGIENIZACAO ,R$ 499.00,
,2025,14 mai.,FAXINA ,R$ 320.00,
,2025,20 mai.,REFORMA INQUILINO ,,R$ 2300.00
,2025,21 mai.,CARRETO GAS ,R$ 300.00,
,2025,29 mai.,CPFL,R$ 101.00,
,2025,2 jun.,Condominio ,R$ 567.00,
,2025,22 jul.,PIA VASANDO ,R$ 76.00,
,2025,30 dez.,NANDO ARRUMAR ,R$ 300.00,
,2025,30 dez.,MATERIAL CONMCERT,R$ 128.00,
2026,,,,,
,2026,10 jan.,CONDOMINIO ,R$ 669.00,
,2026,10 fev.,CONDOMINIO,R$ 669.00,
,2026,10 fev.,GAS,R$ 20.00,
,2026,12 fev.,CPFL,R$ 58.00,
,2026,24 fev.,IPTU 2026,R$ 628.00,
,2026,10 mar.,CONDOMINIO,R$ 669.00,
,2026,26 mar.,CPFL ,R$ 85.00,
,2026,30 mar.,GAS,R$ 20.00,
,2026,6 abr.,FAXINA ,R$ 400.00,
,2026,,,,
,,Total ,,R$ 183138.49,R$ 3016.00
