,Carro ,Placa
DIA,DESCRIÇAO ,VALOR 
20 fev. 25,IPTU 2025,-R$ 1452.21
1 fev.,,R$ 135.00
1 mar.,Pago 15 mar,R$ 135.00
1 abr.,Pago 9 abr 25,R$ 135.00
1 mai.,Pago 25 mai. 25,R$ 135.00
1 jun.,Pago - 23 jul 25,R$ 135.00
1 jul.,Pago - 23 jul 25,R$ 135.00
1 ago.,Pago 2 out 25,R$ 135.00
1 set.,Pago 2 out 25,R$ 135.00
1 out.,Pago 2 out 25,R$ 135.00
1 nov.,Pago 2 dez 25,R$ 135.00
1 dez.,Pago 2 dez 25,R$ 135.00
12 jan. 26,IPTU 2026,-R$ 1355.60
1 jan.,Pago 2 fev 26,R$ 125.52
1 fev.,Pago 2 fev 26,R$ 125.52
1 mar.,Pago 2 mar 26,R$ 125.52
1 abr.,Pago 2 abr 26,R$ 125.52
1 mai.,Pago 4 mai 26,R$ 125.25
1 jun.,,R$ 125.25
1 jul.,,R$ 125.25
1 ago.,,R$ 125.25
1 set.,,R$ 125.25
1 out.,,R$ 125.25
1 nov.,,R$ 125.25
1 dez.,,R$ 125.25
Saldo Devedor ,,R$ 181.27
