DIA ,OBS ,DESPESAS ,RECEBIDOS 
2016,Presente Pai ,,
4 abr. 21,Afonso - grama,R$ 400.00,
21 ago. 21,Afonso - grama,R$ 400.00,
23 jan. 22,Afonso - grama,R$ 300.00,
9 abr. 22,Afonso - grama,R$ 300.00,
20 ago. 22,Afonso - grama,R$ 300.00,
17 dez. 22,Afonso - grama,R$ 300.00,
9 abr. 23,Afonso - grama,R$ 350.00,
5 ago. 23,Afonso - grama,R$ 350.00,
27 nov. 23,Afonso - grama,R$ 350.00,
15 abr.,Afonso - grama,R$ 350.00,
28 ago. 24,Afonso - grama,R$ 350.00,
18 jan. 25,Afonso - grama,R$ 350.00,
3 mai. 25,Afonso - grama,R$ 350.00,
6 set. 25,Afonso - grama,R$ 350.00,
22 mar. 26,Afonso - grama,R$ 350.00,
Total ,,R$ 5150.00,R$ 0.00
